license_nbr,lic_status,business_name,business_name2,building,street_name,city,state,zip,swc_type,swc_sq_ft,swc_tables,swc_chairs,dohmh,lat,long,community_district,city_council_district,cd_url,app_id,app_swc_type,app_sq_ft,app_tables,app_chairs,app_status,app_status_date,expiration_date,app_too_date,submit_date,intake,intake_dd,dpqa,send_package_dd,cp,cp_dd,cb,cb_dd,hearing,hearing_dd,hearing_public,hearing_public_dd,cc,cc_dd,moo,moo_dd,issuance,issuance_dd,borough
2038459-DCA,Inactive,BROOKLYN BURGERS LLC,BURGERFL,719,86TH ST,BROOKLYN,NY,11228,Unenclosed,382,7,28,50048238,40.618828501289165,-74.02134944732079,310,43,http://www.bkcb10.org/,11442-2018-RSWC,Unenclosed,382,7,28,Application Review Completed,2019-02-01T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-08-21T00:00:00Z,Ready For Review,2018-08-21T00:00:00Z,Approved,2018-08-27T00:00:00Z,NA,NA,Recommend Approval,2018-10-10T00:00:00Z,Waived,2018-10-10T00:00:00Z,NA,NA,Review Period Expired,2018-10-31T00:00:00Z,NA,NA,Issued,2019-02-01T00:00:00Z,Brooklyn
1314257-DCA,Active,662 FULTON ST RESTAURANT CORP.,DENIZ,662,FULTON ST,BROOKLYN,NY,11217,Unenclosed,243,11,24,41375578,40.68658284171188,-73.97561807814367,302,35,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,16886-2019-RSWC,Unenclosed,243,11,24,Application Review Completed,2019-11-01T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-04T00:00:00Z,Ready For Review,2019-04-04T00:00:00Z,Approved,2019-04-10T00:00:00Z,NA,NA,Review Period Expired,2019-06-04T00:00:00Z,Waived,2019-06-04T00:00:00Z,NA,NA,Review Period Expired,2019-06-25T00:00:00Z,Approved,2019-11-01T00:00:00Z,Issued,2019-11-01T00:00:00Z,Brooklyn
2050276-DCA,Active,DALTONS BAR AND GRILL LLC,DALTON'S,8414,ASTORIA BLVD,EAST ELMHURST,NY,11370,Unenclosed,232,8,16,50049726,40.76402036046843,-73.88460891870513,403,22,http://www.cb3qn.nyc.gov/,27116-2019-RSWC,Unenclosed,232,8,16,Application Review Completed,2020-01-27T00:00:00Z,2021-09-15T00:00:00Z,NA,2019-09-19T00:00:00Z,Ready For Review,2019-09-19T00:00:00Z,Approved,2019-09-19T00:00:00Z,NA,NA,Review Period Expired,2019-11-12T00:00:00Z,Waived,2019-11-12T00:00:00Z,NA,NA,Review Period Expired,2019-12-03T00:00:00Z,Approved,2020-01-27T00:00:00Z,Issued,2020-01-27T00:00:00Z,Queens
2051498-DCA,Inactive,SWEETGREEN NEW YORK LLC,SWEETGREEN 61 & LEX,137,E 61ST ST,NEW YORK,NY,10065,Unenclosed,114,4,10,50052431,40.76366184672815,-73.9674820275789,108,4,http://www.cb8m.com/,35856-2019-RSWC,Unenclosed,114,4,10,Pending Review,2020-03-03T00:00:00Z,2020-03-26T00:00:00Z,2020-03-26T00:00:00Z,2019-12-19T00:00:00Z,Ready For Review,2019-12-19T00:00:00Z,Issued Temp Op Letter,2019-12-19T00:00:00Z,Pending Review,2019-12-19T00:00:00Z,Pending Review,2019-12-19T00:00:00Z,Pending Review,NA,SWC Public Hearing,2020-02-05T00:00:00Z,Pending Review,NA,Pending Review,NA,Pending Review,NA,NA
2086721-DCA,Active,THE CALAVERAS GROUP LLC,NA,949,COLUMBUS AVE,NEW YORK,NY,10025,Unenclosed,53,4,8,NA,40.79951753655795,-73.96245488473095,107,7,http://www.nyc.gov/mcb7,3267-2019-ASWC,Unenclosed,53,4,8,Application Review Completed,2019-07-25T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-03-26T00:00:00Z,Ready For Review,2019-03-26T00:00:00Z,Approved,2019-03-27T00:00:00Z,NA,NA,Review Period Expired,2019-05-29T00:00:00Z,Recommendation Issued,2019-05-29T00:00:00Z,SWC Public Hearing,2019-05-15T00:00:00Z,Review Period Expired,2019-06-25T00:00:00Z,Approved,2019-07-25T00:00:00Z,Issued,2019-07-25T00:00:00Z,Manhattan
2085588-DCA,Active,DAIMYO GROUP LLC,NA,207,2ND AVE,NEW YORK,NY,10003,Unenclosed,141,4,8,NA,40.731700205521555,-73.98569361507407,103,2,http://www.nyc.gov/manhattancb3,2489-2019-ASWC,Unenclosed,141,4,8,Application Review Completed,2019-07-05T00:00:00Z,2021-12-15T00:00:00Z,NA,2019-03-11T00:00:00Z,Ready For Review,2019-03-11T00:00:00Z,Approved,2019-03-12T00:00:00Z,NA,NA,Recommend Approval,2019-05-01T00:00:00Z,Recommendation Issued,2019-05-01T00:00:00Z,SWC Public Hearing,2019-05-01T00:00:00Z,Review Period Expired,2019-05-28T00:00:00Z,Approved,2019-07-05T00:00:00Z,Issued,2019-07-05T00:00:00Z,Manhattan
0979768-DCA,Active,MANEKEN CORP.,NA,466,HUDSON ST,NEW YORK,NY,10014,Unenclosed,140,6,11,40580435,40.73188481808308,-74.00634317636553,102,3,http://www.nyc.gov/manhattancb2,32124-2018-RSWC,Unenclosed,140,6,11,Application Review Completed,2019-03-28T00:00:00Z,2020-12-15T00:00:00Z,NA,2018-12-14T00:00:00Z,Ready For Review,2018-12-14T00:00:00Z,Approved,2018-12-17T00:00:00Z,NA,NA,Recommend Approval,2019-01-29T00:00:00Z,Waived,2019-01-31T00:00:00Z,NA,NA,Review Period Expired,2019-02-21T00:00:00Z,Approved,2019-03-28T00:00:00Z,Issued,2019-03-28T00:00:00Z,Manhattan
1415817-DCA,Active,SPRING NATURAL CORP.,SPRING NATURAL KITCHEN,474,COLUMBUS AVE,NEW YORK,NY,10024,Unenclosed,233,10,20,41618541,40.78450427215836,-73.97388503660818,107,6,http://www.nyc.gov/mcb7,17521-2019-RSWC,Unenclosed,233,10,20,Application Review Completed,2019-08-06T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-11T00:00:00Z,Ready For Review,2019-04-11T00:00:00Z,Approved,2019-04-12T00:00:00Z,NA,NA,Review Period Expired,2019-06-04T00:00:00Z,Waived,2019-06-04T00:00:00Z,NA,NA,Review Period Expired,2019-06-25T00:00:00Z,Approved,2019-08-06T00:00:00Z,Issued,2019-08-06T00:00:00Z,Manhattan
2077166-DCA,Inactive,WEST VILLAGE FINEST DELI CORP.,WEST VILLAGE FINEST DELI,84,7TH AVE S,NEW YORK,NY,10014,Enclosed,290,6,21,50077644,40.732606809825334,-74.00350718670524,102,3,http://www.nyc.gov/manhattancb2,9501-2018-ASWC,Enclosed,290,6,21,Pending Review,2020-06-09T00:00:00Z,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,2018-05-03T00:00:00Z,Ready For Review,2018-05-03T00:00:00Z,Issued Temp Op Letter,2018-05-03T00:00:00Z,Pending Review,2018-05-03T00:00:00Z,Pending Review,2018-05-03T00:00:00Z,Pending Review,NA,NA,NA,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
2055190-DCA,Inactive,76 HENRY ST INC,KOGANE RAMEN,76,HENRY ST,BROOKLYN,NY,11201,Unenclosed,166,7,16,50042642,40.69860727394863,-73.99258889592974,302,33,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,1256-2020-RSWC,Unenclosed,166,7,16,Pending Review,2020-06-15T00:00:00Z,2020-07-15T00:00:00Z,2020-07-15T00:00:00Z,2020-01-21T00:00:00Z,Ready For Review,2020-01-21T00:00:00Z,Issued Temp Op Letter,2020-01-22T00:00:00Z,Pending Review,2020-01-22T00:00:00Z,Review Period Expired,2020-03-12T00:00:00Z,Waived,2020-03-12T00:00:00Z,NA,NA,Review Period Expired,2020-04-02T00:00:00Z,Pending Review,NA,Pending Review,NA,Brooklyn
0960499-DCA,Inactive,"A.B.C. HOME FURNISHINGS, INC.",ABC COCINA,38,E 19TH ST,NEW YORK,NY,10003,Unenclosed,432,19,42,41162796,40.73798884026273,-73.98943789638578,105,2,http://www.cb5.org,26426-2019-RSWC,Unenclosed,432,19,42,Pending Review,2020-06-05T00:00:00Z,2020-08-31T00:00:00Z,2020-08-31T00:00:00Z,2019-09-11T00:00:00Z,Ready For Review,2019-09-11T00:00:00Z,Issued Temp Op Letter,2019-09-11T00:00:00Z,Pending Review,2019-09-11T00:00:00Z,Recommend Approval,2019-09-20T00:00:00Z,Pending Review,NA,SWC Public Hearing,2019-10-30T00:00:00Z,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
2080936-DCA,Inactive,TRAIN DESIGN LLC,PASTIS,54-56,GANSEVOORT ST,NEW YORK,NY,10014,Unenclosed,420,15,42,50083590,40.73917758818389,-74.00702228230864,102,3,http://www.nyc.gov/manhattancb2,15286-2018-ASWC,Unenclosed,420,15,42,Application Review Completed,2019-05-09T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-09-14T00:00:00Z,Ready For Review,2018-09-14T00:00:00Z,Approved,2018-09-17T00:00:00Z,NA,NA,Recommend Approval,2018-12-27T00:00:00Z,Recommendation Issued,2018-12-27T00:00:00Z,NA,NA,Review Period Expired,2019-01-17T00:00:00Z,Approved,2019-05-09T00:00:00Z,Issued,2019-05-09T00:00:00Z,Manhattan
2060036-DCA,Active,La Luna Deli &Cafe Inc.,NA,4401,30TH AVE,ASTORIA,NY,11103,Unenclosed,130,4,14,50001785,40.762457761329806,-73.91158793300104,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,26615-2019-RSWC,Unenclosed,130,4,14,Application Review Completed,2020-02-12T00:00:00Z,2021-09-15T00:00:00Z,NA,2019-09-13T00:00:00Z,Ready For Review,2019-09-13T00:00:00Z,Approved,2019-09-13T00:00:00Z,NA,NA,Recommend Approval,2019-10-21T00:00:00Z,Waived,2019-11-07T00:00:00Z,NA,NA,Review Period Expired,2019-11-28T00:00:00Z,Approved,2020-02-12T00:00:00Z,Issued,2020-02-12T00:00:00Z,Queens
0952606-DCA,Active,1490 REST. INC.,DOC WATSON'S,1490,2ND AVE,NEW YORK,NY,10075,Unenclosed,113,6,12,40512852,40.772259897887615,-73.95559972639914,108,5,http://www.cb8m.com/,26639-2019-RSWC,Unenclosed,113,6,12,Application Review Completed,2020-01-13T00:00:00Z,2021-09-15T00:00:00Z,NA,2019-09-16T00:00:00Z,Ready For Review,2019-09-16T00:00:00Z,Approved,2019-09-16T00:00:00Z,NA,NA,Recommend Approval,2019-10-31T00:00:00Z,Waived,2019-11-07T00:00:00Z,NA,NA,Review Period Expired,2019-11-28T00:00:00Z,Approved,2020-01-13T00:00:00Z,Issued,2020-01-13T00:00:00Z,NA
2083355-DCA,Active,The Buren LLC,NA,1223,BROADWAY,BROOKLYN,NY,11221,Unenclosed,269,4,16,50081136,40.69205123878766,-73.92610178100898,304,34,http://www.nyc.gov/brooklyncb4,14267-2018-ASWC,Unenclosed,269,4,16,Application Review Completed,2019-06-20T00:00:00Z,2021-04-15T00:00:00Z,NA,2018-08-21T00:00:00Z,Ready For Review,2018-10-15T00:00:00Z,Approved,2018-10-22T00:00:00Z,NA,NA,Review Period Expired,2019-03-20T00:00:00Z,Recommendation Issued,2019-03-20T00:00:00Z,SWC Public Hearing,2018-12-05T00:00:00Z,Review Period Expired,2019-04-11T00:00:00Z,Approved,2019-06-20T00:00:00Z,Issued,2019-06-20T00:00:00Z,Brooklyn
2075383-DCA,Inactive,"4 EARTH TACOS, LLC",NA,1568,3RD AVE,NEW YORK,NY,10128,Unenclosed,277,12,25,50075290,40.780353148168665,-73.95312453947234,108,5,http://www.cb8m.com/,6882-2018-ASWC,Unenclosed,277,12,25,Application Review Completed,2018-10-01T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-04-06T00:00:00Z,Ready For Review,2018-04-12T00:00:00Z,Approved,2018-04-16T00:00:00Z,Pending Review,2018-04-16T00:00:00Z,Review Period Expired,2018-06-06T00:00:00Z,Recommendation Issued,2018-07-11T00:00:00Z,SWC Public Hearing,2018-06-06T00:00:00Z,Review Period Expired,2018-08-01T00:00:00Z,Pending Review,2018-08-01T00:00:00Z,Issued,2018-10-01T00:00:00Z,Manhattan
2038519-DCA,Inactive,HSNYC LLC,HIGH STREET ON HUDSON,637,HUDSON ST,NEW YORK,NY,10014,Unenclosed,156,9,19,50042800,40.73887574250839,-74.00561852210569,102,3,http://www.nyc.gov/manhattancb2,27814-2018-RSWC,Unenclosed,156,9,19,Application Review Completed,2019-04-09T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-11-15T00:00:00Z,Ready For Review,2018-11-15T00:00:00Z,Approved,2018-11-15T00:00:00Z,NA,NA,Review Period Expired,2019-01-10T00:00:00Z,Waived,2019-01-10T00:00:00Z,NA,NA,Review Period Expired,2019-01-31T00:00:00Z,Approved,2019-04-09T00:00:00Z,Issued,2019-04-09T00:00:00Z,Manhattan
2050152-DCA,Inactive,PARIS CAFE LLC,PARIS CAFE,119,SOUTH ST,NEW YORK,NY,10038,Regular Unenclosed/Small Unenclosed,328,13,26,NA,40.70732212874432,-74.00176735559484,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,11045-2018-RSWC,Regular Unenclosed/Small Unenclosed,328,13,26,Application Review Completed,2018-08-14T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-08-14T00:00:00Z,Ready For Review,2018-08-14T00:00:00Z,Approved,NA,Pending Review,NA,Pending Review,NA,Pending Review,NA,NA,NA,Pending Review,NA,Pending Review,NA,Issued,2018-08-14T00:00:00Z,Manhattan
2048824-DCA,Inactive,MFRF ENTERPRISES INC,STREET TACO,358,3RD AVE,NEW YORK,NY,10016,Enclosed,381,7,28,50059635,40.740965952134125,-73.98186282710823,106,2,http://cbsix.org,923-2017-ASWC,Enclosed,381,7,28,Application Review Completed,2018-06-15T00:00:00Z,2020-05-15T00:00:00Z,NA,2017-01-26T00:00:00Z,Ready For Review,2017-01-26T00:00:00Z,Approved,2017-02-01T00:00:00Z,Proceed,2018-01-11T00:00:00Z,Recommend Approval,2018-01-11T00:00:00Z,Recommendation Issued,2018-01-11T00:00:00Z,SWC Public Hearing,2018-02-28T00:00:00Z,Review Period Expired,2018-02-01T00:00:00Z,Approved,2018-06-15T00:00:00Z,Issued,2018-06-15T00:00:00Z,Manhattan
1282506-DCA,Inactive,SHAKE SHACK 366 COLUMBUS LLC,SHAKE SHACK,366,COLUMBUS AVE,NEW YORK,NY,10024,Enclosed,431,12,34,41347614,40.78090371997268,-73.97638514591029,107,6,http://www.nyc.gov/mcb7,6100-2020-RSWC,Enclosed,431,12,34,Submitted,2020-06-15T00:00:00Z,2020-05-15T00:00:00Z,NA,2020-06-17T00:00:00Z,Submitted,NA,Under Review,NA,Pending Review,NA,Pending Review,NA,Pending Review,NA,NA,NA,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
2063387-DCA,Inactive,MAC 1 FOOD AND BEVERAGE LLC,NA,109,W BROADWAY,NEW YORK,NY,10013,Enclosed,536,5,32,50080075,40.71607486381817,-74.00865035770661,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,18656-2019-RSWC,Enclosed,536,5,32,Pending Review,2020-01-02T00:00:00Z,2020-06-30T00:00:00Z,2020-06-30T00:00:00Z,2019-04-25T00:00:00Z,Ready For Review,2019-04-25T00:00:00Z,Issued Temp Op Letter,2019-04-25T00:00:00Z,Proceed,2019-06-14T00:00:00Z,Review Period Expired,2019-06-14T00:00:00Z,Waived,2019-06-14T00:00:00Z,NA,NA,Review Period Expired,2019-07-05T00:00:00Z,Pending Review,NA,Pending Review,NA,Manhattan
2062514-DCA,Inactive,BLASK GROUP LLC,GRAMERCY KITCHEN,184,3RD AVE,NEW YORK,NY,10003,Enclosed,418,13,28,50071387,40.735219016145365,-73.9859851365819,106,2,http://cbsix.org,19093-2017-ASWC,Enclosed,418,13,28,Application Review Completed,2018-10-17T00:00:00Z,2020-05-15T00:00:00Z,2018-10-31T00:00:00Z,2017-12-05T00:00:00Z,Ready For Review,2017-12-05T00:00:00Z,Approved,2017-12-06T00:00:00Z,Proceed Objections Cured,2018-07-18T00:00:00Z,Review Period Expired,2018-07-18T00:00:00Z,Recommendation Issued,2018-07-18T00:00:00Z,SWC Public Hearing,2018-09-05T00:00:00Z,Review Period Expired,2018-08-08T00:00:00Z,Approved,2018-10-17T00:00:00Z,Issued,2018-10-17T00:00:00Z,Manhattan
2071748-DCA,Active,"FAT LEMONS, LLC",CAFEINE,2124,FREDERICK DOUGLASS BLVD,NEW YORK,NY,10026,Unenclosed,137,9,18,50050587,40.803429177571346,-73.95585345162156,110,9,http://www.nyc.gov/html/mancb10/html/home/home.shtml,5097-2018-ASWC,Unenclosed,137,9,18,Application Review Completed,2018-08-14T00:00:00Z,2020-12-15T00:00:00Z,NA,2018-03-15T00:00:00Z,Ready For Review,2018-03-15T00:00:00Z,Approved,2018-03-15T00:00:00Z,NA,NA,Review Period Expired,2018-05-05T00:00:00Z,Recommendation Issued,2018-05-24T00:00:00Z,SWC Public Hearing,2018-05-02T00:00:00Z,Review Period Expired,2018-06-14T00:00:00Z,NA,NA,Issued,2018-08-14T00:00:00Z,Manhattan
2071246-DCA,Inactive,JOANNIDES GROUP LLC,QUEEN'S ROOM,3602,DITMARS BLVD,ASTORIA,NY,11105,Unenclosed,473,16,32,50065639,40.77409829517285,-73.90818586058526,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,5396-2018-ASWC,Unenclosed,473,16,32,Application Review Completed,2018-09-04T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-03-20T00:00:00Z,Ready For Review,2018-03-20T00:00:00Z,Approved,2018-03-22T00:00:00Z,NA,NA,Review Period Expired,2018-05-12T00:00:00Z,Recommendation Issued,2018-05-16T00:00:00Z,SWC Public Hearing,2018-05-09T00:00:00Z,Review Period Expired,2018-06-06T00:00:00Z,Approved,2018-09-04T00:00:00Z,Issued,2018-09-04T00:00:00Z,Queens
1382861-DCA,Active,GMT NEW YORK LLC,GMT TAVERN,142,BLEECKER ST,NEW YORK,NY,10012,Unenclosed,593,26,55,41563445,40.72793254204153,-73.99917738427997,102,1,http://www.nyc.gov/manhattancb2,17753-2019-RSWC,Unenclosed,593,26,55,Application Review Completed,2019-11-07T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-12T00:00:00Z,Ready For Review,2019-04-12T00:00:00Z,Approved,2019-04-12T00:00:00Z,NA,NA,Review Period Expired,2019-06-04T00:00:00Z,Waived,2019-06-04T00:00:00Z,NA,NA,Review Period Expired,2019-06-25T00:00:00Z,Approved,2019-11-07T00:00:00Z,Issued,2019-11-07T00:00:00Z,Manhattan
2055194-DCA,Inactive,CRAFT LLC,CRAFT RESTAURANT,43,E 19TH ST,NEW YORK,NY,10003,Unenclosed,289,10,20,40873175,40.738172697448924,-73.98899762801845,105,2,http://www.cb5.org,3152-2020-RSWC,Unenclosed,289,10,20,Pending Review,2020-02-12T00:00:00Z,2020-02-28T00:00:00Z,2020-02-28T00:00:00Z,2020-02-12T00:00:00Z,Ready For Review,2020-02-12T00:00:00Z,Issued Temp Op Letter,2020-02-12T00:00:00Z,Pending Review,2020-02-12T00:00:00Z,Pending Review,2020-02-12T00:00:00Z,Pending Review,NA,SWC Public Hearing,2020-04-01T00:00:00Z,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
2083447-DCA,Active,26-05 HOSPITALITY LLC,NA,2605,28TH ST,ASTORIA,NY,11102,Unenclosed,506,22,38,50086288,40.77052585819807,-73.92092782874764,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,18263-2018-ASWC,Unenclosed,506,22,38,Application Review Completed,2019-06-29T00:00:00Z,2021-04-15T00:00:00Z,NA,2018-12-17T00:00:00Z,Ready For Review,2018-12-20T00:00:00Z,Approved,2018-12-20T00:00:00Z,NA,NA,Recommend Approval,2019-01-10T00:00:00Z,Recommendation Issued,2019-02-28T00:00:00Z,SWC Public Hearing,2019-02-06T00:00:00Z,Review Period Expired,2019-04-11T00:00:00Z,Approved,2019-06-29T00:00:00Z,Issued,2019-06-29T00:00:00Z,Queens
1028755-DCA,Active,1236 SECOND AVENUE REST. CORP.,SILVER STAR RESTAURANT,1236,2ND AVE,NEW YORK,NY,10065,Enclosed,645,23,56,40736836,40.764137613508815,-73.96157595758696,108,5,http://www.cb8m.com/,22660-2019-RSWC,Enclosed,645,23,56,Application Review Completed,2019-08-05T00:00:00Z,2021-05-15T00:00:00Z,NA,2019-06-24T00:00:00Z,Ready For Review,2019-06-24T00:00:00Z,Approved,NA,Proceed,2019-08-05T00:00:00Z,Review Period Expired,2019-08-05T00:00:00Z,Waived,2019-08-05T00:00:00Z,NA,NA,Review Period Expired,2019-08-05T00:00:00Z,Waived,2019-08-05T00:00:00Z,Issued,2019-08-05T00:00:00Z,NA
2043296-DCA,Inactive,BOUCHERIE LLC,NA,99,7TH AVE S,NEW YORK,NY,10014,Unenclosed,518,42,84,50054294,40.73301853706266,-74.00300927138393,102,3,http://www.nyc.gov/manhattancb2,12040-2018-RSWC,Unenclosed,518,42,84,Application Review Completed,2019-04-11T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-08-29T00:00:00Z,Ready For Review,2018-08-29T00:00:00Z,Approved,2018-08-30T00:00:00Z,NA,NA,Recommend Approval,2018-10-10T00:00:00Z,Waived,2018-10-10T00:00:00Z,NA,NA,Review Period Expired,2018-10-31T00:00:00Z,Approved,2019-04-11T00:00:00Z,Issued,2019-04-11T00:00:00Z,Manhattan
2073998-DCA,Active,1016 AMSTERDAM AVE LLC,INFAMOUS CHICKEN,1012,AMSTERDAM AVE,NEW YORK,NY,10025,Regular Unenclosed/Small Unenclosed,226,11,22,50076863,40.802894095803715,-73.96416869307784,107,7,http://www.nyc.gov/mcb7,9039-2018-ASWC,Regular Unenclosed/Small Unenclosed,226,11,22,Application Review Completed,2018-09-06T00:00:00Z,2020-12-15T00:00:00Z,NA,2018-04-26T00:00:00Z,Ready For Review,2018-04-26T00:00:00Z,Approved,2018-04-26T00:00:00Z,NA,NA,Recommend Approval,2018-06-20T00:00:00Z,Recommendation Issued,2018-06-20T00:00:00Z,SWC Public Hearing,2018-06-13T00:00:00Z,Review Period Expired,2018-07-11T00:00:00Z,Approved,2018-09-06T00:00:00Z,Issued,2018-09-06T00:00:00Z,Manhattan
1138270-DCA,Inactive,"LE-SE AMSTERDAM 732 RESTAURANT, INC.",DIVE BAR,732,AMSTERDAM AVE,NEW YORK,NY,10025,Unenclosed,147,7,17,40388578,40.79397556999407,-73.97067788251626,107,6,http://www.nyc.gov/mcb7,34083-2019-RSWC,Unenclosed,147,7,17,Pending Review,2020-01-07T00:00:00Z,2020-03-07T00:00:00Z,2020-03-07T00:00:00Z,2019-11-30T00:00:00Z,Ready For Review,2019-12-02T00:00:00Z,Issued Temp Op Letter,2019-12-23T00:00:00Z,Pending Review,2019-12-02T00:00:00Z,Pending Review,2019-12-23T00:00:00Z,Pending Review,NA,SWC Public Hearing,2020-02-12T00:00:00Z,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
1418616-DCA,Inactive,"PEDRO'S BAR & RESTAURANT, INC.",NA,73,JAY ST,BROOKLYN,NY,11201,Unenclosed,280,7,13,41619116,40.70252076796531,-73.98659070435116,302,33,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,15357-2014-RSWC,Unenclosed,280,7,13,Pending Review,2019-12-27T00:00:00Z,2020-03-27T00:00:00Z,2020-03-27T00:00:00Z,2019-01-16T00:00:00Z,Ready For Review,2014-09-16T00:00:00Z,Issued Temp Op Letter,2016-09-19T00:00:00Z,Pending Review,2014-09-16T00:00:00Z,Review Period Expired,2016-11-09T00:00:00Z,Pending Review,2016-11-09T00:00:00Z,SWC Public Hearing,NA,Pending Review,NA,Pending Review,NA,Pending Review,NA,Brooklyn
1208521-DCA,Active,"ASC, INC.",LA NONNA,134,MULBERRY ST,NEW YORK,NY,10013,Unenclosed,136,6,12,41128554,40.71849329740089,-73.99759743649996,102,1,http://www.nyc.gov/manhattancb2,20850-2019-RSWC,Unenclosed,136,6,12,Application Review Completed,2020-01-14T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-05-28T00:00:00Z,Ready For Review,2019-05-28T00:00:00Z,Approved,2019-05-29T00:00:00Z,NA,NA,Review Period Expired,2019-07-23T00:00:00Z,Waived,2019-07-23T00:00:00Z,NA,NA,Review Period Expired,2019-08-13T00:00:00Z,Approved,2020-01-14T00:00:00Z,Issued,2020-01-14T00:00:00Z,Manhattan
1277362-DCA,Active,SENGUPTA FOOD SERVICES LLC,SOHO PARK,62,PRINCE ST,NEW YORK,NY,10012,Small Unenclosed,255,7,14,41207173,40.72364244230692,-73.99669171028069,102,1,http://www.nyc.gov/manhattancb2,30158-2018-RSWC,Small Unenclosed,255,7,14,Application Review Completed,2019-03-22T00:00:00Z,2020-12-15T00:00:00Z,2019-04-02T00:00:00Z,2018-11-30T00:00:00Z,Ready For Review,2018-11-30T00:00:00Z,Approved,2018-12-03T00:00:00Z,NA,NA,Review Period Expired,2019-01-24T00:00:00Z,Waived,2019-01-24T00:00:00Z,NA,NA,Review Period Expired,2019-02-14T00:00:00Z,Approved,2019-03-22T00:00:00Z,Issued,2019-03-22T00:00:00Z,Manhattan
2034353-DCA,Inactive,LOCAL 92 INC,LOCAL 92,92,2ND AVE,NEW YORK,NY,10003,Unenclosed,216,11,23,50044652,40.7269109372372,-73.98866034394895,103,2,http://www.nyc.gov/manhattancb3,11492-2018-RSWC,Unenclosed,216,11,23,Application Review Completed,2019-03-20T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-08-21T00:00:00Z,Ready For Review,2018-08-21T00:00:00Z,Approved,2018-08-22T00:00:00Z,NA,NA,Review Period Expired,2018-10-10T00:00:00Z,Waived,2018-10-10T00:00:00Z,NA,NA,Review Period Expired,2018-10-31T00:00:00Z,Approved,2019-03-20T00:00:00Z,Issued,2019-03-20T00:00:00Z,Manhattan
2059065-DCA,Active,"SAL'S FAMILY PIZZA, INC",SAL'S PIZZA,384,BROOME ST,NEW YORK,NY,10013,Unenclosed,98,6,12,41626598,40.72059575556008,-73.99652230588948,102,1,http://www.nyc.gov/manhattancb2,14257-2019-RSWC,Unenclosed,98,6,12,Application Review Completed,2019-08-07T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-03-15T00:00:00Z,Ready For Review,2019-03-15T00:00:00Z,Approved,2019-03-15T00:00:00Z,NA,NA,Review Period Expired,2019-05-16T00:00:00Z,Waived,2019-05-16T00:00:00Z,NA,NA,Review Period Expired,2019-06-06T00:00:00Z,Approved,2019-08-07T00:00:00Z,Issued,2019-08-07T00:00:00Z,Manhattan
0767745-DCA,Active,FOODS FOR JUNIORS INC,JUNIORS RESTAURANT,386,FLATBUSH AVENUE EXT,BROOKLYN,NY,11201,Enclosed,123,19,58,40364581,40.69017963374731,-73.98179370550632,302,33,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,19035-2019-RSWC,Enclosed,123,19,58,Application Review Completed,2019-05-01T00:00:00Z,2021-05-15T00:00:00Z,NA,2019-05-01T00:00:00Z,Ready For Review,2019-05-01T00:00:00Z,Approved,NA,Proceed,2019-05-01T00:00:00Z,Recommend Approval,2019-05-01T00:00:00Z,Recommendation Issued,2019-05-01T00:00:00Z,SWC Public Hearing,2019-06-19T00:00:00Z,NA,NA,Approved,2019-05-01T00:00:00Z,Issued,2019-05-01T00:00:00Z,Brooklyn
